Time - Temeperatura (°C)	Temperatura (°C) & Presión (kPa) - Temeperatura (°C)	Time - Presión (kPa)	Temperatura (°C) & Presión (kPa) - Presión (kPa)						
563	107	563	114						
564	107,1	564	115						
565	107,3	565	116						
566	107,4	566	115						
567	107,5	567	115						
568	107,5	568	115						
569	107,6	569	115						
570	107,8	570	117						
571	107,9	571	117						
572	108	572	117						
573	108	573	118						
574	108,1	574	117						
575	108,3	575	117						
576	108,4	576	118						
577	108,4	577	120						
578	108,5	578	120						
579	108,6	579	119						
580	108,8	580	119						
581	108,9	581	119						
582	109	582	119						
583	109	583	120						
584	109,1	584	120						
585	109,3	585	120						
586	109,3	586	121						
587	109,4	587	122						
588	109,5	588	122						
589	109,5	589	121						
590	109,6	590	122						
591	109,6	591	122						
592	109,8	592	123						
593	109,9	593	124						
594	110	594	124						
595	110	595	125						
596	110	596	125						
597	110,1	597	124						
598	110,3	598	124						
599	110,3	599	125						
600	110,4	600	125						
601	110,4	601	123						
602	110,4	602	124						
603	110,4	603	123						
604	110,4	604	122						
605	110,4	605	123						
606	110,4	606	124						
607	110,4	607	124						
608	110,5	608	124						
609	110,5	609	125						
610	110,5	610	125						
611	110,5	611	125						
612	110,5	612	126						
613	110,5	613	127						
614	110,6	614	128						
615	110,6	615	128						
616	110,8	616	128						
617	110,9	617	128						
618	110,9	618	129						
619	111	619	130						
620	111,1	620	130						
621	111,1	621	131						
622	111,4	622	132						
623	111,5	623	132						
624	111,5	624	132						
625	111,6	625	132						
626	111,8	626	132						
627	111,9	627	132						
628	112	628	131						
629	112	629	131						
630	112,1	630	132						
631	112,3	631	133						
632	112,4	632	135						
633	112,4	633	134						
634	112,5	634	135						
635	112,5	635	135						
636	112,6	636	136						
637	112,8	637	136						
638	112,9	638	137						
639	113	639	138						
640	113	640	138						
641	113	641	138						
642	113,1	642	137						
643	113,3	643	137						
644	113,4	644	138						
645	113,5	645	138						
646	113,5	646	138						
647	113,5	647	139						
648	113,6	648	140						
649	113,8	649	140						
650	113,9	650	140						
651	113,9	651	140						
652	114	652	140						
653	114	653	141						
654	114,1	654	141						
655	114,1	655	141						
656	114,3	656	142						
657	114,3	657	142						
658	114,4	658	142						
659	114,5	659	142						
660	114,5	660	142						
661	114,5	661	143						
662	114,5	662	143						
663	114,6	663	143						
664	114,6	664	141						
665	114,6	665	140						
666	114,6	666	141						
667	114,6	667	141						
668	114,6	668	141						
669	114,6	669	140						
670	114,6	670	141						
671	114,6	671	141						
672	114,6	672	141						
673	114,6	673	140						
674	114,5	674	141						
675	114,5	675	142						
676	114,5	676	142						
677	114,5	677	142						
678	114,5	678	142						
679	114,5	679	142						
680	114,5	680	142						
681	114,5	681	144						
682	114,5	682	144						
683	114,6	683	143						
684	114,6	684	143						
685	114,6	685	143						
686	114,8	686	144						
687	114,8	687	144						
688	114,9	688	145						
689	114,9	689	146						
690	115	690	146						
691	115	691	146						
692	115,1	692	147						
693	115,1	693	146						
694	115,3	694	146						
695	115,3	695	146						
696	115,4	696	147						
697	115,4	697	147						
698	115,5	698	147						
699	115,5	699	148						
700	115,5	700	149						
701	115,6	701	149						
702	115,8	702	150						
703	115,8	703	150						
704	115,9	704	149						
705	115,9	705	148						
706	116	706	149						
707	116	707	149						
708	116	708	149						
709	116	709	150						
710	116,1	710	151						
711	116,1	711	151						
712	116,3	712	151						
713	116,3	713	151						
714	116,4	714	150						
715	116,4	715	150						
716	116,4	716	151						
717	116,5	717	152						
718	116,5	718	153						
719	116,5	719	153						
720	116,5	720	154						
721	116,5	721	154						
722	116,5	722	154						
723	116,6	723	153						
724	116,6	724	152						
725	116,6	725	151						
726	116,8	726	152						
727	116,8	727	153						
728	116,8	728	152						
729	116,8	729	151						
730	116,8	730	151						
731	116,9	731	151						
732	116,8	732	150						
733	116,8	733	149						
734	116,8	734	148						
735	116,8	735	148						
736	116,8	736	148						
737	116,6	737	148						
738	116,6	738	149						
739	116,6	739	149						
740	116,5	740	150						
741	116,5	741	151						
742	116,5	742	151						
743	116,5	743	150						
744	116,5	744	150						
745	116,5	745	151						
746	116,5	746	151						
747	116,5	747	151						
748	116,5	748	152						
749	116,5	749	152						
750	116,5	750	152						
751	116,5	751	154						
752	116,5	752	154						
753	116,5	753	153						
754	116,6	754	153						
755	116,6	755	153						
756	116,8	756	153						
757	116,8	757	154						
