Time - Temeperatura (°C)	Temperatura (°C) & Presión (kPa) - Temeperatura (°C)	Time - Presión (kPa)	Temperatura (°C) & Presión (kPa) - Presión (kPa)			
985	95,8	985	78			
986	95,8	986	78			
987	95,8	987	79			
988	95,9	988	79			
989	95,9	989	79			
990	95,9	990	79			
991	95,9	991	78			
992	96	992	78			
993	96	993	79			
994	96	994	79			
995	96	995	79			
996	96	996	79			
997	96	997	79			
998	96	998	78			
999	96,1	999	80			
1000	96,1	1000	79			
1001	96,1	1001	79			
1002	96,1	1002	78			
1003	96,3	1003	79			
1004	96,3	1004	80			
1005	96,3	1005	80			
1006	96,3	1006	80			
1007	96,4	1007	80			
1008	96,4	1008	80			
1009	96,4	1009	80			
1010	96,5	1010	80			
1011	96,5	1011	81			
1012	96,5	1012	81			
1013	96,5	1013	80			
1014	96,5	1014	80			
1015	96,5	1015	80			
1016	96,5	1016	80			
1017	96,5	1017	81			
1018	96,6	1018	80			
1019	96,6	1019	80			
1020	96,6	1020	80			
1021	96,6	1021	80			
1022	96,6	1022	80			
1023	96,8	1023	80			
1024	96,8	1024	80			
1025	96,8	1025	80			
1026	96,8	1026	81			
1027	96,9	1027	81			
1028	96,9	1028	81			
1029	96,9	1029	80			
1030	96,9	1030	80			
1031	96,9	1031	81			
1032	97	1032	81			
1033	97	1033	82			
1034	97	1034	82			
1035	97	1035	81			
1036	97	1036	82			
1037	97	1037	82			
1038	97	1038	82			
1039	97	1039	81			
1040	97,1	1040	82			
1041	97,1	1041	82			
1042	97,1	1042	82			
1043	97,1	1043	82			
1044	97,3	1044	82			
1045	97,3	1045	82			
1046	97,3	1046	82			
1047	97,3	1047	82			
1048	97,3	1048	83			
1049	97,4	1049	83			
1050	97,4	1050	82			
1051	97,4	1051	82			
1052	97,4	1052	81			
1053	97,5	1053	81			
1054	97,5	1054	82			
1055	97,5	1055	81			
1056	97,5	1056	81			
1057	97,5	1057	82			
1058	97,5	1058	83			
1059	97,5	1059	82			
1060	97,5	1060	82			
1061	97,5	1061	83			
1062	97,6	1062	84			
1063	97,6	1063	84			
1064	97,6	1064	82			
1065	97,6	1065	82			
1066	97,8	1066	83			
1067	97,8	1067	84			
1068	97,8	1068	85			
1069	97,8	1069	85			
1070	97,8	1070	83			
1071	97,9	1071	83			
1072	97,9	1072	83			
1073	97,9	1073	83			
1074	98,9	1074	82			
1075	98	1075	83			
1076	98	1076	84			
1077	98	1077	83			
1078	98	1078	83			
1079	98	1079	84			
1080	98	1080	84			
1081	98,1	1081	83			
1082	98,1	1082	84			
1083	98,1	1083	84			
1084	98,3	1084	84			
1085	98,3	1085	84			
1086	98,3	1086	85			
1087	98,4	1087	84			
1088	98,4	1088	84			
1089	98,4	1089	84			
1090	98,4	1090	85			
1091	98,5	1091	84			
1092	98,5	1092	84			
1093	98,5	1093	84			
1094	98,5	1094	85			
1095	98,5	1095	85			
1096	98,5	1096	84			
1097	98,5	1097	84			
1098	98,5	1098	85			
1099	98,5	1099	84			
1100	98,6	1100	85			
1101	98,6	1101	85			
1102	98,6	1102	84			
1103	98,8	1103	84			
1104	98,8	1104	85			
1105	98,8	1105	85			
1106	98,9	1106	85			
1107	98,9	1107	85			
1108	98,9	1108	85			
1109	98,9	1109	85			
1110	99	1110	86			
1111	99	1111	85			
1112	99	1112	86			
1113	99	1113	85			
1114	99	1114	84			
1115	99	1115	85			
1116	99,1	1116	85			
1117	99,1	1117	86			
1118	99,3	1118	87			
1119	99,4	1119	87			
1120	99,4	1120	87			
1121	99,5	1121	88			
1122	99,5	1122	88			
1123	99,6	1123	88			
1124	99,8	1124	88			
1125	100	1125	89			
1126	100	1126	89			
1127	100,1	1127	89			
1128	100,3	1128	89			
1129	100,4	1129	89			
1130	100,5	1130	89			
1131	100,6	1131	90			
1132	100,8	1132	90			
1133	101	1133	91			
1134	101	1134	90			
1135	101,1	1135	90			
1136	101,3	1136	91			
1137	101,4	1137	92			
1138	101,5	1138	91			
1139	101,5	1139	92			
1140	101,6	1140	92			
1141	101,8	1141	92			
1142	101,9	1142	92			
1143	101,9	1143	92			
1144	102	1144	93			
1145	102	1145	93			
1146	102,1	1146	93			
1147	102,3	1147	94			
1148	102,4	1148	94			
1149	102,5	1149	94			
1150	102,5	1150	94			
1151	102,5	1151	93			
1152	102,6	1152	93			
1153	102,6	1153	94			
1154	102,8	1154	95			
1155	102,8	1155	95			
1156	102,9	1156	94			
1157	103	1157	94			
1158	103	1158	95			
1159	103	1159	96			
1160	103,1	1160	97			
1161	103,1	1161	97			
1162	103,3	1162	96			
1163	103,4	1163	97			
1164	103,5	1164	97			
1165	103,5	1165	97			
1166	103,5	1166	98			
1167	103,6	1167	98			
1168	103,6	1168	98			
1169	103,8	1169	99			
1170	103,8	1170	98			
1171	103,9	1171	98			
1172	104	1172	98			
1173	104	1173	97			
1174	104	1174	97			
1175	104,1	1175	98			
1176	104,1	1176	97			
1177	104,1	1177	98			
1178	104,1	1178	98			
1179	104,1	1179	98			
1180	104,3	1180	98			
1181	104,3	1181	99			
1182	104,3	1182	99			
1183	104,3	1183	99			
1184	104,3	1184	98			
1185	104,4	1185	98			
1186	104,4	1186	99			
1187	104,4	1187	99			
1188	104,4	1188	98			
1189	104,5	1189	99			
1190	104,5	1190	100			
1191	104,5	1191	101			
1192	104,5	1192	101			
1193	104,5	1193	102			
1194	104,6	1194	101			
1195	104,8	1195	100			
1196	104,8	1196	101			
1197	104,9	1197	102			
1198	105	1198	102			
1199	105	1199	103			
1200	105	1200	103			
1201	105,1	1201	103			
