Time - Temeperatura (°C)	Temperatura (°C) & Presión (kPa) - Temeperatura (°C)	Time - Presión (kPa)	Temperatura (°C) & Presión (kPa) - Presión (kPa)						
1126	121,6	1126	178						
1127	121,6	1127	178						
1128	121,6	1128	178						
1129	121,6	1129	178						
1130	121,6	1130	178						
1131	121,6	1131	178						
1132	121,6	1132	178						
1133	121,6	1133	179						
1134	121,6	1134	177						
1135	121,6	1135	177						
1136	121,6	1136	177						
1137	121,6	1137	177						
1138	121,6	1138	176						
1139	121,6	1139	176						
1140	121,6	1140	177						
1141	121,6	1141	178						
1142	121,6	1142	179						
1143	121,6	1143	178						
1144	121,5	1144	178						
1145	121,5	1145	179						
1146	121,6	1146	178						
1147	121,5	1147	178						
1148	121,5	1148	177						
1149	121,5	1149	177						
1150	121,5	1150	177						
1151	121,6	1151	178						
1152	121,6	1152	178						
1153	121,6	1153	177						
1154	121,6	1154	177						
1155	121,6	1155	178						
1156	121,6	1156	178						
1157	121,6	1157	178						
1158	121,5	1158	177						
1159	121,6	1159	177						
1160	121,6	1160	178						
1161	121,5	1161	178						
1162	121,6	1162	178						
1163	121,6	1163	178						
1164	121,6	1164	178						
1165	121,6	1165	177						
1166	121,6	1166	178						
1167	121,5	1167	178						
1168	121,6	1168	177						
1169	121,5	1169	177						
1170	121,5	1170	177						
1171	121,5	1171	178						
1172	121,5	1172	179						
1173	121,6	1173	177						
1174	121,5	1174	177						
1175	121,5	1175	178						
1176	121,5	1176	177						
1177	121,5	1177	177						
1178	121,5	1178	177						
1179	121,5	1179	177						
1180	121,5	1180	177						
1181	121,5	1181	178						
1182	121,6	1182	179						
1183	121,6	1183	178						
1184	121,6	1184	177						
1185	121,6	1185	178						
1186	121,6	1186	178						
1187	121,6	1187	178						
1188	121,6	1188	177						
1189	121,5	1189	177						
1190	121,5	1190	177						
1191	121,6	1191	178						
1192	121,6	1192	178						
1193	121,6	1193	178						
1194	121,6	1194	178						
1195	121,6	1195	178						
1196	121,6	1196	178						
1197	121,6	1197	179						
1198	121,6	1198	178						
1199	121,6	1199	178						
1200	121,6	1200	179						
1201	121,6	1201	178						
1202	121,6	1202	178						
1203	121,6	1203	178						
1204	121,6	1204	178						
1205	121,6	1205	178						
1206	121,6	1206	177						
1207	121,6	1207	177						
1208	121,6	1208	177						
1209	121,6	1209	177						
1210	121,5	1210	178						
1211	121,5	1211	179						
1212	121,5	1212	178						
1213	121,5	1213	177						
1214	121,5	1214	177						
1215	121,5	1215	178						
1216	121,5	1216	178						
1217	121,5	1217	178						
1218	121,5	1218	178						
1219	121,5	1219	178						
1220	121,5	1220	178						
1221	121,5	1221	178						
1222	121,5	1222	178						
1223	121,5	1223	178						
1224	121,5	1224	177						
1225	121,5	1225	176						
1226	121,5	1226	178						
1227	121,5	1227	178						
1228	121,5	1228	177						
1229	121,5	1229	178						
1230	121,5	1230	179						
1231	121,5	1231	178						
