WARNING (------): DXF version not recognised or not release 12-15.
ASCII DXF release 15 is recommended
XRECORD: name="ACDB_RECOMPOSE_DATA", handle="15D", group="280", value="     1"
WARNING (015568): XRECORD object group 90 unknown/not supported - ignored.
WARNING (015576): XRECORD object group 140 unknown/not supported - ignored.
WARNING (015584): XRECORD object group 140 unknown/not supported - ignored.
WARNING (015592): XRECORD object group 90 unknown/not supported - ignored.
WARNING (015600): XRECORD object group 90 unknown/not supported - ignored.
WARNING (015604): XRECORD object group 90 unknown/not supported - ignored.
WARNING (015612): XRECORD object group 90 unknown/not supported - ignored.
WARNING (015620): XRECORD object group 90 unknown/not supported - ignored.
WARNING (015628): XRECORD object group 90 unknown/not supported - ignored.
WARNING (015632): XRECORD object group 90 unknown/not supported - ignored.
WARNING (015640): XRECORD object group 280 unknown/not supported - ignored.
WARNING (015648): XRECORD object group 90 unknown/not supported - ignored.
WARNING (015656): XRECORD object group 90 unknown/not supported - ignored.
WARNING (015664): XRECORD object group 90 unknown/not supported - ignored.
WARNING (015672): XRECORD object group 280 unknown/not supported - ignored.
WARNING (015680): XRECORD object group 90 unknown/not supported - ignored.
WARNING (015688): XRECORD object group 90 unknown/not supported - ignored.
WARNING (015692): XRECORD object group 90 unknown/not supported - ignored.
WARNING (015700): XRECORD object group 140 unknown/not supported - ignored.
WARNING (015708): XRECORD object group 90 unknown/not supported - ignored.
WARNING (015716): XRECORD object group 1 unknown/not supported - ignored.
WARNING (015724): XRECORD object group 280 unknown/not supported - ignored.
WARNING (015732): XRECORD object group 140 unknown/not supported - ignored.
WARNING (015740): XRECORD object group 140 unknown/not supported - ignored.
WARNING (016536): XRECORD object group 280 unknown/not supported - ignored.
WARNING (016544): XRECORD object group 280 unknown/not supported - ignored.
WARNING (016552): XRECORD object group 280 unknown/not supported - ignored.
WARNING (016560): XRECORD object group 280 unknown/not supported - ignored.
WARNING (016568): XRECORD object group 280 unknown/not supported - ignored.
WARNING (016576): XRECORD object group 280 unknown/not supported - ignored.
